Ref,Val,Package,PosX,PosY,Rot,Side
"C46","2.2u 100V","C_1206_3216Metric",93.400000,-16.500000,90.000000,bottom
"C47","2.2u 100V","C_1206_3216Metric",91.100000,-16.500000,90.000000,bottom
"C48","2.2u 100V","C_1206_3216Metric",53.600000,-16.500000,90.000000,bottom
"C49","2.2u 100V","C_1206_3216Metric",88.820000,-16.500000,90.000000,bottom
"C50","2.2u 100V","C_1206_3216Metric",51.300000,-16.490000,90.000000,bottom
"C51","2.2u 100V","C_1206_3216Metric",75.000000,-16.500000,90.000000,bottom
"C52","2.2u 100V","C_1206_3216Metric",86.600000,-16.500000,90.000000,bottom
"C53","2.2u 100V","C_1206_3216Metric",49.000000,-16.490000,90.000000,bottom
"C54","2.2u 100V","C_1206_3216Metric",64.900000,-16.580000,90.000000,bottom
"C55","2.2u 100V","C_1206_3216Metric",79.600000,-16.500000,90.000000,bottom
"C56","2.2u 100V","C_1206_3216Metric",46.700000,-16.500000,90.000000,bottom
"C57","2.2u 100V","C_1206_3216Metric",62.600000,-16.580000,90.000000,bottom
"C58","2.2u 100V","C_1206_3216Metric",77.300000,-16.500000,90.000000,bottom
"C59","2.2u 100V","C_1206_3216Metric",60.330000,-16.580000,90.000000,bottom
"C64","2.2u 100V","C_1206_3216Metric",123.300000,-31.500000,180.000000,bottom
"C65","2.2u 100V","C_1206_3216Metric",123.300000,-83.500000,180.000000,bottom
"C66","2.2u 100V","C_1206_3216Metric",123.300000,-57.500000,180.000000,bottom
"C67","2.2u 100V","C_1206_3216Metric",17.200000,-62.600000,0.000000,bottom
"C68","2.2u 100V","C_1206_3216Metric",17.100000,-88.400000,0.000000,bottom
"C69","2.2u 100V","C_1206_3216Metric",17.200000,-36.500000,0.000000,bottom
"V0","CRSS042N10N","TO-263-2",114.000000,-93.000000,0.000000,bottom
"V1","CRSS042N10N","TO-263-2",114.000000,-79.000000,180.000000,bottom
"V2","CRSS042N10N","TO-263-2",114.000000,-67.000000,0.000000,bottom
"V3","CRSS042N10N","TO-263-2",114.000000,-53.000000,180.000000,bottom
"V4","CRSS042N10N","TO-263-2",114.000000,-41.000000,0.000000,bottom
"V5","CRSS042N10N","TO-263-2",114.000000,-27.000000,180.000000,bottom
"V6","CRSS042N10N","TO-263-2",26.000000,-79.000000,180.000000,bottom
"V7","CRSS042N10N","TO-263-2",26.000000,-93.000000,0.000000,bottom
"V8","CRSS042N10N","TO-263-2",26.000000,-53.000000,180.000000,bottom
"V9","CRSS042N10N","TO-263-2",26.000000,-67.000000,0.000000,bottom
"V10","CRSS042N10N","TO-263-2",26.000000,-27.000000,180.000000,bottom
"V11","CRSS042N10N","TO-263-2",26.000000,-41.000000,0.000000,bottom
